"","Programme","Priority axes name","Registration number of the operation","Operation name","Operation summary","Beneficiary name","Identification number of the beneficiary","Legal status of the beneficiary","Postcode","...10","Operation start date","Expected end date of the operation","Operation end date","...14","Status of the operation","Country","NUTS 3 code","NUTS 3 name","Intervention field - code","Intervention field - name","Fund","Union co-financing rate","Total eligible expenditure allocated to the selected operation","Expeditures allocated to the selected operation - Union support","Expeditures allocated to the selected operation - national public funding","Expeditures allocated to the selected operation - national private funding","Total eligible expenditures charged in payment applications","Expenditures charged in payment application - Union support","...29"
"1493","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.13/0.0/0.0/16_046/0017503","Dopravní terminál - nádraží ČD - ul. Havlíčkova, Jihlava","Předmětem projektu je rekonstrukce a modernizace dopravního terminálu v ul. Havlíčkova u ŽST Jihlava jako přestupního uzlu regionálního významu s malým objemem dopravy pro přestup mezi osobní vlakovou a MHD s cílem zlepšit dopravní obslužnost krajského města Jihlavy, které je přirozeným centrem regionu, veřejnou hromadnou dopravou jako ekologickou formou dopravy, podporovat multimodalitu, zlepšit propojení jednotlivých forem dopravy a zvýšit komfort uživatelů veřejné dopravy.","Statutární město Jihlava","00286010","Obec",58601,2022-05-10,NA,"30.06.2023",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ063","Kraj Vysočina","II.4.044","Inteligentní dopravní systémy (včetně zavedení správy poptávky, odbavovacích systémů, IT systémů pro sledování, kontrolu a poskytování informací)","EFRR",0.85,15800000,13430000,2370000,0,0,0,"Ne"
"1494","OP Z","03.2 Sociální začleňování a boj s chudobou","CZ.03.2.60/0.0/0.0/16_048/0007963","Asistenti prevence kriminality v Ústí nad Labem","Obsahem projektu je vytvoření 14 pozic asistentů prevence kriminality, kteří budou působit na území města Ústí nad Labem v lokalitách, které určila Bezpečnostní analýza. V rámci projektu budou asistenti proškoleni, vystrojeni a vybaveni potřebnými pomůckami. Svou činnost budou vykonávat pod dohledem 2 mentorů a bude zajištěna supervize dle zásad Ministerstva vnitra ČR. Poznatky a zkušenosti získané projektem budou sdíleny v rámci workshopů určených pro města Ústecko-chomutovské aglomerace.","Statutární město Ústí nad Labem","00081531","Obec",40001,2018-03-16,"01.01.2018","31.12.2020","31.12.2020",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ042","Ústecký kraj","VI.0.109","Aktivní začleňování, včetně začleňování s ohledem na podporu rovných příležitostí a aktivní účast a zlepšení zaměstnatelnosti","ESF",0.85,11028500,9374225,1654275,0,11027992.48,9373793.58,"Ano"
"1495","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.37/0.0/0.0/16_077/0006197","Cyklostezka ul. Želivského, Na Rovince","Předmětem projektu je propojení území pomocí cyklostezky, které přispějí především ke zvýšení bezpečnosti cyklistů a chodců. Dále zvyšují napojení a propojení se stávajícími trasami a plánovanými trasami, zvyšují atraktivitu lokality, a výrazně posilují význam souvisejících služeb v zóně aktivní nabídky. Propojení dále poskytne lepší dostupnost pro cílové skupiny projektu k průmyslové zóně Hrabová.","Statutární město Ostrava","00845451","Obec",70200,2020-10-23,"11.05.2015","31.05.2020","31.05.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","II.4.043","Infrastruktura čisté městské dopravy a její propagace (včetně zařízení a kolejových vozidel)","EFRR",0.849999999504261,4034384.52,3429226.84,605157.68,0,4034384.52,3429226.84,"Ne"
"1496","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/17_068/0005535","Pořízení kompostérů pro město Kolín","Záměrem projektu je pořízení: 1000 ks plastových kompostérů (900l) Výše uvedené bude pořízeno za účelem zpracování biologicky komunálního odpadu, který vzniká na území města Kolín.","Město Kolín","00235440","Obec",28002,2018-03-09,"04.10.2018","31.07.2019","24.07.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.849999999521732,3136318.79,2665870.97,470447.82,0,3136318.79,2665870.97,"Ne"
"1497","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.37/0.0/0.0/17_100/0005936","Terminál hromadné dopravy Nová Paka","Hlavním cílem tohoto projektu bude rekonstrukce stávajícího autobusového nádraží na terminál hromadné dopravy pro autobusové spoje, jak pro regionální dopravce, tak i pro městskou hromadnou dopravu. Dále nová stavba odbavovací budovy pro cestující s parkovacími stáními pro jízdní kola, rekonstrukce autobusových stání, vybudování parkovacích míst pro automobily, modernizace původního okolí, zeleně, rekonstrukce nezpevněných povrchů a pořízení elektronických informačních systémů pro cestující.","Město Nová Paka","00271888","Obec",50901,2018-11-06,"24.05.2017","31.12.2020","31.12.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ052","Královéhradecký kraj","II.4.044","Inteligentní dopravní systémy (včetně zavedení správy poptávky, odbavovacích systémů, IT systémů pro sledování, kontrolu a poskytování informací)","EFRR",0.85,53981400,45884190,8097210,0,52898483.08,44963710.6,"Ne"
"1498","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/17_068/0005507","Podpora domácího kompostování města Žatec","Předmětem projektu je realizace několika opatření, kterými dojde k předcházení dvou druhů odpadů (BRKO, textilní materiál) na území města Žatec a jeho místních částech. V rámci projektu budou za přispění dotace z Operačního programu Životní prostředí pořízeny:  - zahradní kompostéry - 700ks - nádoby na textilní materiál - 5ks.","Město Žatec","00265781","Obec",43801,2018-03-09,"10.09.2018","30.04.2019","11.04.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ042","Ústecký kraj","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.85,2514864,2137634.4,377229.6,0,2514864,2137634.4,"Ne"
"1499","OP ZP","05.4 Ochrana a péče o přírodu a krajinu","CZ.05.4.27/0.0/0.0/17_051/0006347","Revitalizace ramene drobného vodního toku v Chrudimi","Předmětem projektu je revitalizace hlavní větve náhonu v parku Střelnice, spojovacího koryta a navazujícího území tak, aby došlo k eliminaci sedimentace jemných bahnitých částic a zajištění migrační prostupnosti příčných objektů. Revitalizací dojde ke zlepšení stanovištní diverzity a životních podmínek pro vodní organismy. Realizace vychází z moderního pojetí funkčního propojení vodních prvků a zeleně v architektuře měst při zachování podmínek daných v plánu péče o přírodní památku.","Město Chrudim","00270211","Obec",53701,2018-01-26,"06.09.2018","31.03.2020","30.03.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ053","Pardubický kraj","IV.4.085","Ochrana a obnova biologické rozmanitosti, ochrana přírody a ekologická infrastruktura","EFRR",1,10911342.68,10911342.68,0,0,10692468.68,10692468.68,"Ne"
"1500","OP Z","03.2 Sociální začleňování a boj s chudobou","CZ.03.2.63/0.0/0.0/17_071/0007630","Podpora interdisciplinární spolupráce sociálně právní ochrany dětí na Jesenicku","Projektem zavádí město Jeseník v rámci oddělení SPOD nové postupy sociální práce do opatrovnických řízení, založené na principech Cochemské praxe. Pro posílení kompetencí projde 13 sociálních pracovníků mediačním výcvikem. Pracovníci OSPOD se budou setkávat s pracovníky dalších dotčených subjektů z ORP na pravidelných mezioborových setkáních a na 4 odborných workshopech. Formou letáků a interaktivních programů bude mezi laickou i odbornou veřejností rozšiřováno povědomí o sociální práci OSPOD.","Město Jeseník","00302724","Obec",79001,2018-03-06,"01.04.2018","31.03.2020","31.03.2020",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ071","Olomoucký kraj","VI.0.112","Zlepšování přístupu k dostupným, udržitelným a vysoce kvalitním službám, včetně zdravotnictví a sociálních služeb obecného zájmu","ESF",0.849999993182089,1100043.75,935037.18,165006.57,0,1069351.92,908949.11,"Ano"
"1501","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/17_070/0006274","Úspory energie ve veřejných budovách - Penzion pro seniory, Lískovecká 86","Předmětem projektu je zateplení obvodového pláště, výměna oken a zateplení střechy budovy technického zázemí penzionu pro seniory za účelem úspory energie. Podrobný popis stavebních prací je uveden v projektové dokumentaci.","Statutární město Frýdek-Místek","00296643","Obec",73801,2017-12-22,"04.12.2017","30.11.2019","14.11.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.399999998675923,6041942.37,2416776.94,3625165.43,0,5958077.78,2383231.11,"Ne"
"1502","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/16_039/0002882","Energetické úspory ZUŠ Hranice","Projekt řeší realizaci opatření pro snížení spotřeby energie objektu (budovy) Základní umělecké školy (dále jen ZUŠ) v Hranicích, která je v majetku žadatele. Snížení spotřeby bude realizováno zlepšením tepelně technických vlastností obvodových konstrukcí, zateplením stropu a výměnou oken a dveří. Vlastníkem objektu je Město Hranice, prostory jsou pronajímány Základní umělecké škole, Hranice, Školní náměstí 35, příspěvkové organizaci zřízené Olomouckým krajem na základě nájemní smlouvy.","Město Hranice","00301311","Obec",75301,2017-05-17,"15.06.2017","28.02.2019","04.10.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ071","Olomoucký kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.399999998756021,6430976.97,2572390.78,3858586.19,0,6376864.45,2550745.78,"Ne"
"1503","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/18_103/0008391","Zahradní kompostéry pro občany - 2. etapa","Předmětem projektu je pořízení 1000 zahradních kompostérů, které žadatel - statutární město Liberec - poskytne svým občanům. Podmínkou přidělení kompostéru je vlastnictví oplocené zahrady na území města Liberec (mimo obvod Vratislavice n. Nisou). Kompostéry budou poskytnuty občanům prostřednictvím smlouvy o výpůjčce na dobu 5 let. Pro projekt byl zvolen zásobníkový typ kompostéru s uzavíráním o kapacitě přibližně 900 litrů a garancí alespoň 5 let životnosti.","STATUTÁRNÍ MĚSTO LIBEREC","00262978","Obec",46001,2019-04-08,"13.09.2019","31.01.2020","02.04.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ051","Liberecký kraj","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.85,3500530,2975450.5,525079.5,0,3500530,2975450.5,"Ne"
"1504","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.05/0.0/0.0/16_044/0005958","Nové funkce IS města Český Brod","Realizace nových funkcí informačního systému města Český Brod v oblastech: - elektronické spisové služby, ekonomických agend, integrační platformy interních procesů, portálu občana a úředníka, docházky, městské policie a rezervačního systému. Bude rozšířena a modernizována technická, datová a komunikační infrastruktura související s implementací nových funkcí.","Město Český Brod","00235334","Obec",28201,2018-04-17,"01.12.2016","30.04.2019","30.04.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","IV.3.078","Služby elektronické veřejné správy (e-government) a žádosti (včetně elektronického zadávání veřejných zakázek, IKT opatření na podporu reformy veřejné správy, počítačové bezpečnosti, opatření pro důvěru a ochranu soukromí, elektronického soudnictví (e-justice) a e-demokracie)","EFRR",0.849999999867111,15050188.12,12792659.9,2257528.22,0,13674546.5,11623364.52,"Ne"
"1505","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/17_068/0005511","Domácí kompostéry a rozšíření sběrné sítě na textil a oděvy pro občany města Havířova","Projekt je zaměřen na snížení množství biologicky rozložitelných odpadů a snížení množství textilních materiálů, které jsou součástí SKO. Nákupem domácích kompostérů si občané zpracovávají vyprodukovaný odpad přímo v jednotlivých domácnostech a nedochází tedy k jeho předávání do obecních systémů nakládání s odpady. Rozšířením sběrné sítě na textil, obuv a hračky dojde k dalšímu navýšení kapacity sběrné sítě, která je v současné době přetížená. Textil bude předáván charitativním organizacím.","Statutární město Havířov","00297488","Obec",73601,2018-03-09,"10.07.2018","30.06.2019","06.06.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.85,4735819,4025446.15,710372.85,0,4735819,4025446.15,"Ne"
"1506","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.37/0.0/0.0/16_045/0005899","Terminál Benešov","Projektový záměr řeší výstavbu terminálu, jakožto významného přestupního uzlu veřejné dopravy pro rezidenty a nerezidenty města Benešov. Vybudování bezbariérového terminálu a zpřístupnění cestování veřejnou dopravou všem bez omezení. Zastřešení terminálu včetně častí vozovek. Výsadba a úpravy doprovodné zeleně a okolních prostranství terminálu. Napojení terminálu na bezbariérové komunikace pro pěší, včetně bezpečného podchodu. Instalace informačních tabulí a inteligentních prvků pro cestující.","Město Benešov","00231401","Obec",25601,2018-05-15,"19.05.2015","31.05.2021","08.01.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","II.4.044","Inteligentní dopravní systémy (včetně zavedení správy poptávky, odbavovacích systémů, IT systémů pro sledování, kontrolu a poskytování informací)","EFRR",0.85,111111111,94444444.35,16666666.65,0,111111111,94444444.35,"Ne"
"1507","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/17_068/0005424","Nákup kompostérů pro občany města Kralovice","Projekt spočívá v nákupu 300 ks kompostérů pro občany města Kralovice. Cílem je pomocí předcházení vzniku odpadů formou domácího kompostování snížit podíl BRO odpadů v produkci města. Předpokládá se ponížení o 110 tun BRO ročně. Zároveň je předpoklad snížení rizika černých skládek. Projekt nepředstavuje žádná rizika.","Město Kralovice","00257966","Obec",33141,2018-03-07,"19.08.2017","31.01.2020","28.02.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ032","Plzeňský kraj","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.85,762300,647955,114345,0,762300,647955,"Ne"
"1508","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.11/0.0/0.0/16_098/0006303","Zateplení BD Štěpnická 1059, Uherské Hradiště","Zateplení obvodového pláště a výměna výplní otvorů stavebních konstrukcí bytového domu podle doporučení energetického auditu.","Město Uherské Hradiště","00291471","Obec",68601,2018-03-13,"22.08.2016","31.08.2018","23.08.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ072","Zlínský kraj","II.1.014","Energeticky účinná renovace stávajícího bytového a domovního fondu, demonstrační projekty a podpůrná opatření","EFRR",0.299999997909457,3348412.19,1004523.65,2343888.54,0,2441275.69,732382.7,"Ne"
"1509","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.37/0.0/0.0/16_077/0006198","Cyklistické propojení ul. 17. listopadu, VTP","Novostavba cyklistické stezky v místě stávající zeleně, rekonstrukce úseků se stávající společnou stezkou pro pěší a cyklisty. Funkcí stavby je  propojení stávajících cyklistických stezek na okrajích území, konkrétně cyklostezky D vedoucí podél ulice 17. Listopadu a cyklostezky Q vedoucí do Pustkovce. Významem stavby je zvýšení bezpečnosti a pohodlí cyklistů projíždějících řešeným územím a dojde k zlepšení obslužnosti v dané lokalitě z hlediska cyklistické dopravy.","Statutární město Ostrava","00845451","Obec",70200,2018-11-06,"01.01.2014","30.06.2019","30.06.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","II.4.043","Infrastruktura čisté městské dopravy a její propagace (včetně zařízení a kolejových vozidel)","EFRR",0.8499999996232,15923580.16,13535043.13,2388537.03,0,10086867.92,8573837.73,"Ne"
"1510","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.37/0.0/0.0/16_077/0005845","Propojení a rozšíření cyklostezek, Rýmařov - dílčí část 4: cyklostezka Janovice","Předmětem projektu je výstavba nové stezky pro cyklisty a chodce v Janovicích, místní části města Rýmařov. Nová stezka pro cyklisty je navržena v napojení na stávající stezku pro cyklisty a chodce ""Cyklostezka Rýmařov - Penny Market - Janovice, II.etapa"".  Vybudováním cyklostezky se sníží vážná bezpečnostní rizika pro pěší kvůli nevyhovujícímu technickému stavu některých úseků chodníků a pro cyklisty využívající dosud k jízdě přímo silnici I/11.","Město Rýmařov","00296317","Obec",79501,2020-10-26,"08.12.2015","28.07.2023","27.01.2022",NA,"PP41 Projekt finančně ukončen ze strany ŘO","Česká republika","CZ080","Moravskoslezský kraj","II.4.043","Infrastruktura čisté městské dopravy a její propagace (včetně zařízení a kolejových vozidel)","EFRR",0.84999999972957,9244536.25,7857855.81,1386680.44,0,9119435.9,7751520.51,"Ne"
"1511","OP Z","03.2 Sociální začleňování a boj s chudobou","CZ.03.2.60/0.0/0.0/16_052/0007824","Asistenti prevence kriminality Liberec","Projekt asistentů prevence kriminality (APK) je založený na spolupráci s těmi, kdo mají dobrou znalost sociálně vyloučeného prostředí, v ideálním případě z takového prostředí přímo pochází. Cílem projektu je využití jejich potenciálu ke snížení či eliminaci sociálně rizikových jevů, zvyšování bezpečí v sociálně vyloučených lokalitách a jejich okolí, prevence extremistických a rasově motivovaných útoků a podpora nerepresivních metod práce policie. Statutární město Liberec zaměstná 5 APK.","STATUTÁRNÍ MĚSTO LIBEREC","00262978","Obec",46001,2018-04-04,"01.03.2018","28.02.2021","28.02.2021",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ051","Liberecký kraj","VI.0.109","Aktivní začleňování, včetně začleňování s ohledem na podporu rovných příležitostí a aktivní účast a zlepšení zaměstnatelnosti","ESF",0.85,6366625,5411631.25,954993.75,0,5967176.96,5072100.39,"Ano"
