ico,municipality_id,municipality,date,year,EU_fund_total_CZK,Tax_revenue_CZK,Capital_revenue_CZK,Non_tax_revenue_CZK,lt_tangible_assets_CZK,Saldo_CZK,population_total,unemployment
253383,3204,Horšovský Týn,2013-12-31,2013,149.42380513679507,5035.092346454495,332.34931602456726,767.142912479062,53184.380588358465,1005.861140424344,14328,6.19
253383,3204,Horšovský Týn,2014-12-31,2014,252.7984292390319,5571.589981167608,805.2017576898933,776.4621364302155,53363.066355583454,1363.3573425402803,14337,5.96
253383,3204,Horšovský Týn,2015-12-31,2015,187.821072618717,5849.834532074424,125.41125242988059,815.7215433212996,53495.08579838934,-1132.293663565676,14404,5.36
253383,3204,Horšovský Týn,2016-12-31,2016,0,6420.162862236851,1633.216628951519,997.4813666598093,53071.923831173284,4399.788162929439,14583,4.67
253383,3204,Horšovský Týn,2017-12-31,2017,0,6756.198852751475,124.01468368327158,717.4707307533964,71983.09116783312,-829.6537017977221,14574,2.74
253383,3204,Horšovský Týn,2018-12-31,2018,544.5038500816993,6644.064447848584,281.5435049019608,1417.910949754902,76754.48357979303,-3183.007247412854,14688,2.23
253383,3204,Horšovský Týn,2019-12-31,2019,0,7187.394391905565,391.0465652613828,1101.1911359190556,75057.30792310287,2546.9599035413153,14825,2.45
253383,3204,Horšovský Týn,2020-12-31,2020,245.86801945420157,6704.759610915969,117.21930086463118,1210.7749128613887,78678.96380707917,-618.2219298838145,14804,3.38
253901,4101,Aš,2007-12-31,2007,0,7261.40425052145,1094.5622639382152,1697.3848582219966,50422.9156096736,1781.608884379052,17739,3.49
253901,4101,Aš,2008-12-31,2008,6892.250153811735,8062.638850047541,2372.318362324515,1384.1165613289334,49132.30158286258,1786.235807371777,17879,4.94
253901,4101,Aš,2009-12-31,2009,802.5023093208534,6961.436848849518,3631.842442475904,739.6423199064014,48745.276617081734,-6627.142459189927,17949,7.63
253901,4101,Aš,2010-12-31,2010,2550.0259265804025,7128.078435843357,639.0708544718691,632.6477797412073,54810.522715613064,2720.042182066921,17543,6.72
253901,4101,Aš,2011-12-31,2011,0,7381.5375665075035,789.4154729422464,1777.4015217144156,35491.25557014552,1986.0617479536154,17592,5.63
253901,4101,Aš,2012-12-31,2012,0,8018.445711446741,728.428741766977,1054.925792641381,34603.9767942312,935.372287076993,17612,5.34
253901,4101,Aš,2013-12-31,2013,595.1012370900012,9685.981788105777,448.2677023039383,1331.7077879922824,36163.31656452162,1942.6075593008736,17622,5.05
253901,4101,Aš,2014-12-31,2014,2728.5752863535945,10417.422828414434,145.82040163145072,1226.0786149662947,41270.985330538715,-993.0333354104117,17653,4.76
253901,4101,Aš,2015-12-31,2015,2776.2335924036283,10963.048301020408,240.33486394557823,1085.8004977324263,45412.00549659864,-808.1909631519275,17640,3.88
253901,4101,Aš,2016-12-31,2016,0,12216.919700927181,223.16152193577565,1053.495737788331,45733.050623021256,4003.4088336725467,17688,2.66
253901,4101,Aš,2017-12-31,2017,292.91356458652155,13630.921572861758,315.5615541574562,1288.9750660318539,40463.052648075725,2372.9900056679703,17643,1.84
253901,4101,Aš,2018-12-31,2018,952.854510337015,13781.72311583121,305.03885584820165,1296.3045126026623,44849.37769753611,-45.86083205890739,17655,1.34
253901,4101,Aš,2019-12-31,2019,375.77484882735234,14940.918574173495,456.247529810681,1403.1867917490817,47347.85202543091,2745.0670081944054,17695,1.52
253901,4101,Aš,2020-12-31,2020,477.2293401851116,14468.224427914372,370.3514848674124,1665.8643063994095,50954.33288285731,5222.409692237806,17611,3.47
253979,4102,Cheb,2007-12-31,2007,0,7146.465981492718,643.8108692354369,2215.6098300970875,60773.01729368932,449.87200394417476,52736,5.55
253979,4102,Cheb,2008-12-31,2008,2406.235644189166,7789.199841290834,1556.8751298958944,2501.4321612787426,63211.59861696298,802.5055264798685,52927,6.02
253979,4102,Cheb,2009-12-31,2009,1766.5936201341772,6814.526589091461,950.2518667323656,2376.2527006026608,67394.8400485161,-1977.341090853959,52766,8.72
253979,4102,Cheb,2010-12-31,2010,263.0803975218402,7335.8064768307695,1527.5920026579631,2906.2452361873866,67106.9724627201,334.9729317724314,51167,9.03
253979,4102,Cheb,2011-12-31,2011,1143.0141690853468,7534.421918340131,1233.640879157515,2712.7258271885785,55418.41862076404,-1424.8782479604663,50992,7.51
253979,4102,Cheb,2012-12-31,2012,2757.893691961909,7633.805261923069,1139.058023303957,2555.313239092289,56742.55969933559,-878.9469466295992,50721,7.44
253979,4102,Cheb,2013-12-31,2013,591.0705809984919,8799.252391658067,825.4190457575997,2656.31217298992,60626.635018255416,779.0546297325164,50396,7.37
253979,4102,Cheb,2014-12-31,2014,909.4150645000499,8907.437575715283,876.4917254511016,2635.642339148639,61295.19381896122,1218.2001535240754,50155,7.29
253979,4102,Cheb,2015-12-31,2015,522.83089511104,9115.530586355648,1243.5362925387442,2540.207689527081,64994.98464950471,796.0558527720103,50072,6.54
253979,4102,Cheb,2016-12-31,2016,74.6489681162888,10181.249432713206,2998.9994676078245,2494.6442465753425,64524.772515602876,3573.700762696656,50151,4.05
253979,4102,Cheb,2017-12-31,2017,1019.4330742431523,11246.298414824603,1105.6719191494474,2697.2711755165788,65029.85657756687,953.9955766458473,49944,2.3
253979,4102,Cheb,2018-12-31,2018,1599.8251264087116,11367.539207918811,342.75928418439855,2683.647405368617,68717.53053045619,724.1098740917188,49957,1.67
253979,4102,Cheb,2019-12-31,2019,35.291162045841254,12282.958251826645,1189.4655351816637,2641.557221098989,70700.24277890101,296.08796957261535,49955,2
253979,4102,Cheb,2020-12-31,2020,0,11237.98617625258,869.0957409299438,2575.228086423463,72125.2513342148,1130.5963892060822,49917,3.88
254061,4105,Mariánské Lázně,2007-12-31,2007,0,7076.873180200582,1896.349077968295,2131.817373018441,75633.96271433194,-733.1336945972178,24728,3.62
254061,4105,Mariánské Lázně,2008-12-31,2008,417.8676864399903,7613.123427736752,1884.9979712732288,2154.020124969569,80124.19134950904,-832.1419297249047,24646,4.3
254061,4105,Mariánské Lázně,2009-12-31,2009,1.8362075978198975,6595.104124298381,3475.443748474742,2351.7518099731556,79306.75018303099,1027.943138371431,24586,6.43
254061,4105,Mariánské Lázně,2010-12-31,2010,2351.4548532972217,7681.71775616562,4160.168246542738,2139.1604087159917,77790.30571627888,1355.4852476507037,24369,6.85
254061,4105,Mariánské Lázně,2011-12-31,2011,980.9540393362015,7152.448808440893,2138.4091374718296,2542.673058799426,64631.20743618111,-4543.333068223725,24405,6.16
254061,4105,Mariánské Lázně,2012-12-31,2012,1125.565674124835,7078.271431225231,652.6606770145311,2118.0979062087185,61097.19403195178,2158.204436509247,24224,5.89
